Datum;PV-Erzeugung;Einspeisung;Verbraucherlast;Netzbezug;Energie von Aufladen;Energie von Entladen;;% netzbezug
2018;9,7;0,02;9,69;0,01;2,5;4;;0,001031992
2019;10684,9;7520,27;3945,75;782,26;1448,4;1398,3;;0,198253817
2020;11327;7738,23;5019,82;1431,05;1557,6;1511,5;;0,285079943
2021;10479,6;6893,61;6756,15;1538,79;3719;1401,4;;0,227761373
2022;11777;7652,85;6066,43;1903,92;1526,5;1476,7;;0,31384521
2023;10814,2;7281,95;4959,02;1426,77;1443,9;1413,5;;0,287712088
2024;9403,5;5992,66;5159,9;1780,36;1301,2;1278;;0,345037695
2025;586,9;280,51;607,44;309,95;151,2;142,3;;0,510256157
2026;0;0;0;0;0;0;;#DIV/0!
2027;0;0;0;0;0;0;;
2028;0;0;0;0;0;0;;
2029;0;0;0;0;0;0;;