Datum,PV-Erzeugung,Einspeisung,Verbraucherlast,Netzbezug,Energie von Aufladen,Energie von Entladen
1,8.2,1.59,9.58,4.07,4.3,3.2
2,0.6,0,8.35,7.05,0,0.7
3,7.4,0,32.4,25.1,2.1,2
4,4.2,0.02,8.44,4.46,2.8,2.6
5,0.8,0,9.09,8.29,0,0
6,4.8,0.01,8.56,3.97,3.1,2.9
7,4.1,0.01,8.88,4.89,1.9,1.8
8,1.3,0,8.13,6.83,0.2,0.2
9,1.8,0,9.88,7.98,0.3,0.4
10,4.1,0,7.6,3.7,2.2,2
11,6.6,0.02,22.6,16.12,2.3,2.2
12,6.6,0.04,9.77,3.51,4.1,3.8
13,11.4,4.73,7.99,3.02,4,2.3
14,11.2,4.79,8.14,1.53,4,4.2
15,5.8,0.1,9.85,3.85,3.7,4
16,10,3.36,8.11,2.57,4,2.9
17,1.7,0,9.57,6.77,0.1,1.2
18,5.7,0.02,8.7,3.42,3.3,2.9
19,9.2,0,22.71,13.41,2.5,2.6
20,3.7,0,10.35,6.65,1.6,1.6
21,7,0.02,8.93,3.05,4.1,3
22,4.1,0,9.61,4.61,1.5,2.4
23,2.8,0,7.64,4.84,1,1
24,6.1,0,37.59,31.59,3.2,3.1
25,3.9,0.01,13.53,9.64,1.9,1.9
26,5.5,0.03,9.89,4.52,3.6,3.5
27,3.6,0.01,8.15,4.66,1.6,1.5
28,5.7,0.02,9.09,3.51,3.6,3.5
29,5.1,0.02,8.48,3.5,2.6,2.5
30,5.8,0.03,8.62,3.15,3.5,3.2
31,14.4,5.98,10.27,3.05,4.6,3.4